Time(s),Neutron Population,Normalized Power,Temperature(C),Rod Position,Temperature Feedback,Total Reactivity
0.0,1000.0,1.0,300.0,0.2,-0.0,0.014
0.5,1007.0,1.007,300.1,0.2,-0.000400000000000091,0.013599999999999909
1.0,1013.8475999999999,1.0138475999999998,300.19870000000003,0.2,-0.000794800000000123,0.013205199999999877
1.5,1020.5416301637599,1.02054163016376,300.29611076000003,0.2,-0.0011844430400001328,0.012815556959999867
2.0,1027.0810348594673,1.0270810348594672,300.3922427078164,0.2,-0.0015689708312656876,0.012431029168734313
2.5,1033.4648720109633,1.0334648720109634,300.487105957146,0.2,-0.0019484238285840548,0.012051576171415945
3.0,1039.6923123237248,1.0396923123237247,300.58071032520417,0.2,-0.0023228413008166628,0.011677158699183338
3.5,1045.7626383883874,1.0457626383883873,300.6730653499325,0.2,-0.002692261399729887,0.011307738600270113
4.0,1051.6752436647996,1.0516752436647996,300.7641803067727,0.2,-0.0030567212270907478,0.010943278772909253
4.5,1057.4296313497953,1.0574296313497953,300.8540642250037,0.2,-0.003416256900014787,0.010583743099985214
5.0,1063.0254131320544,1.0630254131320545,300.9427259036386,0.2,-0.0037709036145542997,0.0102290963854457
5.5,1068.4623078376073,1.0684623078376074,301.030173926879,0.2,-0.0041206957075160065,0.009879304292483994
6.0,1073.740139969696,1.073740139969696,301.11641667912517,0.2,-0.004465666716500664,0.009534333283499338
6.5,1078.8588381468671,1.0788588381468671,301.2014623595396,0.2,-0.004805849438158475,0.009194150561841526
7.0,1083.818433443315,1.083818433443315,301.28531899616354,0.2,-0.0051412759846541575,0.008858724015345843
7.5,1088.6190576356244,1.0886190576356243,301.3679944595846,0.2,-0.005471977838338489,0.00852802216166151
8.0,1093.2609413601863,1.0932609413601864,301.44949647615647,0.2,-0.005797985904625875,0.008202014095374126
8.5,1097.7444121856654,1.0977444121856654,301.52983264076937,0.2,-0.006119330563077483,0.007880669436922517
9.0,1102.0698926049974,1.1020698926049974,301.60901042917254,0.2,-0.00643604171669017,0.00756395828330983
9.5,1106.2378979514754,1.1062378979514753,301.68703720984956,0.2,-0.006748148839398255,0.007251851160601746
10.0,1110.2490342435558,1.1102490342435558,301.7639202554477,0.2,-0.007055681021790861,0.006944318978209139
10.5,1114.1039959630737,1.1141039959630736,301.83966675376314,0.2,-0.007358667015052561,0.006641332984947439
11.0,1117.8035637715993,1.1178035637715993,301.91428381828416,0.2,-0.007657135273136646,0.006342864726863354
11.5,1121.3486021697038,1.121348602169704,301.98777849829565,0.2,-0.007951113993182617,0.006048886006817383
12.0,1124.7400571039182,1.1247400571039181,302.0601577885467,0.2,-0.008240631154186759,0.0057593688458132414
12.5,1127.9789535261793,1.1279789535261793,302.13142863848617,0.2,-0.008525714553944682,0.005474285446055318
13.0,1131.066392910552,1.131066392910552,302.20159796106907,0.2,-0.008806391844276278,0.005193608155723723
13.5,1134.0035507319947,1.1340035507319948,302.27067264113873,0.2,-0.009082690564554923,0.0049173094354450775
14.0,1136.791673911916,1.136791673911916,302.33865954338916,0.2,-0.009354638173556622,0.004645361826443378
14.5,1139.4320782352204,1.1394320782352203,302.40556551991256,0.2,-0.009622262079650227,0.004377737920349773
15.0,1141.926145743497,1.141926145743497,302.4713974173378,0.2,-0.009885589669351248,0.004114410330648752
15.5,1144.2753221089395,1.1442753221089395,302.5361620835654,0.2,-0.010144648334261546,0.003855351665738454
16.0,1146.4811139935175,1.1464811139935176,302.599866374105,0.2,-0.010399465496419907,0.0036005345035800933
16.5,1148.5450863978358,1.1485450863978357,302.66251715802224,0.2,-0.01065006863208896,0.0033499313679110406
17.0,1150.4688600040279,1.1504688600040278,302.7241213235016,0.2,-0.010896485294006424,0.003103514705993576
17.5,1152.254108516933,1.152254108516933,302.784685783032,0.2,-0.011138743132127957,0.002861256867872043
18.0,1153.9025560076968,1.1539025560076968,302.844217478223,0.2,-0.011376869912892062,0.0026231300871079385
18.5,1155.4159742638242,1.1554159742638241,302.90272338425933,0.2,-0.011610893537037328,0.002389106462962672
19.0,1156.7961801495862,1.1567961801495863,302.96021051400055,0.2,-0.011840842056002202,0.0021591579439977984
19.5,1158.0450329805644,1.1580450329805645,303.0166859217355,0.2,-0.01206674368694189,0.0019332563130581102
20.0,1159.164431915972,1.159164431915972,303.07215670659883,0.2,-0.01228862682639533,0.001711373173604671
20.5,1160.156313372261,1.160156313372261,303.12663001565846,0.2,-0.012506520062633855,0.0014934799373661455
21.0,1161.022648461376,1.1610226484613761,303.1801130466825,0.2,-0.012720452186729972,0.0012795478132700284
21.5,1161.7654404568739,1.1617654404568738,303.232613050595,0.2,-0.012930452202379912,0.0010695477976200886
22.0,1162.3867222909698,1.1623867222909698,303.2841373336288,0.2,-0.013136549334515166,0.0008634506654848339
22.5,1162.8885540854262,1.1628885540854261,303.3346932591853,0.2,-0.01333877303674126,0.000661226963258741
23.0,1163.2730207190393,1.1632730207190394,303.38428824941013,0.2,-0.013537152997640533,0.0004628470023594674
23.5,1163.542229434322,1.163542229434322,303.43292978649384,0.2,-0.013731719145975376,0.00026828085402462454
24.0,1163.6983074858251,1.1636983074858251,303.4806254137074,0.2,-0.013922501654829602,7.749834517039797e-05
24.5,1163.743399832379,1.163743399832379,303.52738273618183,0.2,-0.01410953094472734,-0.0001095309447273398
